US_EPA_Name,URI
HFC-134,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9286
HFC-134a,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.12577
HFC-143,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9506
HFC-143a,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9484
HFC-152,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.11722
HFC-152a,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6128
HFC-161,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9243
HFC-227ea,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.61257
HFC-236cb,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.455592
HFC-236ea,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.71342
HFC-236fa,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.12199
HFC-245ca,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.62827
HFC-245fa,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.61345
HFC-365mfc,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.61201
HFC-4310mee,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.77787
HFC-1234ze(E),http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.4647426
Carbon tetrachloride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.5730
Chloromethane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6087
Methylene chloride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6104
Chloroform,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.5977
Dichloroethane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.13837650
Methyl bromide,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6083
Dibromomethane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.2916
Bromodifluoromethane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.56193
Halon 1211,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9248
Halon 1301,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6144
Nitrogen trifluoride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.22959
Sulfur hexafluoride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.21159667
Trifluoromethyl sulfur pentafluoride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.119988
Sulfuryl fluoride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.16647
Carbon tetrafluoride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6153
Hexafluoroethane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6191
Perfluoropropane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6192
Perfluorocyclobutane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.13846040
Perfluorobutane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.13862701
Perfluoropentane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.12154
Perfluorohexane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9262
Perfluorodecalin,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.13888074
Tetrafluoroethene,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.8000
HFE-329mcc2,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.13270790
HFE-338mcf2,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.2056281
HFE-347mcf2,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.11214141
HFE-347pcf2,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.144293
HFE-356mec3,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.2058620
HFE-356pcf2,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.24591028
HFE-356pcf3,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.2018678
HFE-356pcc3,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.11214145
HFE-365mcf3,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.2056341
HFE-338pcc13 (HG-01),http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.8035172
Methyl chlorocarbonate,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6337
