US_EPA_Name,URI
Carbon dioxide,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.274
Methane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.291
Methane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.291
Nitrous oxide,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.923
CFC-11,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6149
CFC-12,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6151
CFC-13,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6152
CFC-113,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6152
CFC-114,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.221830
CFC-115,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6190
HCFC-21,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6130
HCFC-22,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6132
HCFC-122,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9253
HCFC-123,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9016
HCFC-123a,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9254
HCFC-124,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.16841
HCFC-141b,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.14829
HCFC-142b,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6148
HCFC-225ca,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.55063
HCFC-225cb,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.56144
HFC-23,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.21106179
HFC-32,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6105
HFC-41,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.11148
HFC-125,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9256
