GWP,Label,URI
ActivityType,Atmospheric energy balance,http://rdf.bonsai.uno/activitytype/lcia/atmospheric_energy_balance
ActivityType,Temperature Incraese,http://rdf.bonsai.uno/activitytype/lcia/temperature_increse
FlowObject,Radiative forcing,http://rdf.bonsai.uno/flowobject/lcia/radiative_forcing
FlowObject,Temperature Increase - 100yrs horizon,http://rdf.bonsai.uno/activitytype/lcia/temperature_incraese_100yrs_horizon
