US_EPA_Name,URI
Carbon dioxide,Chemical-Structure.274
Methane,Chemical-Structure.291
Methane,Chemical-Structure.291
Nitrous oxide,Chemical-Structure.923
CFC-11,Chemical-Structure.6149
CFC-12,Chemical-Structure.6151
CFC-13,Chemical-Structure.6152
CFC-113,Chemical-Structure.6152
CFC-114,Chemical-Structure.221830
CFC-115,Chemical-Structure.6190
HCFC-21,Chemical-Structure.6130
HCFC-22,Chemical-Structure.6132
HCFC-122,Chemical-Structure.9253
HCFC-123,Chemical-Structure.9016
HCFC-123a,Chemical-Structure.9254
HCFC-124,Chemical-Structure.16841
HCFC-141b,Chemical-Structure.14829
HCFC-142b,Chemical-Structure.6148
HCFC-225ca,Chemical-Structure.55063
HCFC-225cb,Chemical-Structure.56144
HFC-23,Chemical-Structure.21106179
HFC-32,Chemical-Structure.6105
HFC-41,Chemical-Structure.11148
HFC-125,Chemical-Structure.9256
HFC-134,Chemical-Structure.9286
HFC-134a,Chemical-Structure.12577
HFC-143,Chemical-Structure.9506
HFC-143a,Chemical-Structure.9484
HFC-152,Chemical-Structure.11722
HFC-152a,Chemical-Structure.6128
HFC-161,Chemical-Structure.9243
HFC-227ea,Chemical-Structure.61257
HFC-236cb,Chemical-Structure.455592
HFC-236ea,Chemical-Structure.71342
HFC-236fa,Chemical-Structure.12199
HFC-245ca,Chemical-Structure.62827
HFC-245fa,Chemical-Structure.61345
HFC-365mfc,Chemical-Structure.61201
HFC-4310mee,Chemical-Structure.77787
HFC-1234ze(E),Chemical-Structure.4647426
Carbon tetrachloride,Chemical-Structure.5730
Chloromethane,Chemical-Structure.6087
Methylene chloride,Chemical-Structure.6104
Chloroform,Chemical-Structure.5977
Dichloroethane,Chemical-Structure.13837650
Methyl bromide,Chemical-Structure.6083
Dibromomethane,Chemical-Structure.2916
Bromodifluoromethane,Chemical-Structure.56193
Halon 1211,Chemical-Structure.9248
Halon 1301,Chemical-Structure.6144
Nitrogen trifluoride,Chemical-Structure.22959
Sulfur hexafluoride,Chemical-Structure.21159667
Trifluoromethyl sulfur pentafluoride,Chemical-Structure.119988
Sulfuryl fluoride,Chemical-Structure.16647
Carbon tetrafluoride,Chemical-Structure.6153
Hexafluoroethane,Chemical-Structure.6191
Perfluoropropane,Chemical-Structure.6192
Perfluorocyclobutane,Chemical-Structure.13846040
Perfluorobutane,Chemical-Structure.13862701
Perfluoropentane,Chemical-Structure.12154
Perfluorohexane,Chemical-Structure.9262
Perfluorodecalin,Chemical-Structure.13888074
Tetrafluoroethene,Chemical-Structure.8000
HFE-329mcc2,Chemical-Structure.13270790
HFE-338mcf2,Chemical-Structure.2056281
HFE-347mcf2,Chemical-Structure.11214141
HFE-347pcf2,Chemical-Structure.144293
HFE-356mec3,Chemical-Structure.2058620
HFE-356pcf2,Chemical-Structure.24591028
HFE-356pcf3,Chemical-Structure.2018678
HFE-356pcc3,Chemical-Structure.11214145
HFE-365mcf3,Chemical-Structure.2056341
HFE-338pcc13 (HG-01),Chemical-Structure.8035172
Methyl chlorocarbonate,Chemical-Structure.6337
