Exiobase,Count_in_USE_EPA,US_EPA,URI,URI_classes
"Carbon dioxide, fossil",1,Carbon dioxide,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.274,
N2O,1,Nitrous oxide,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.923,
CH4,1,Methane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.291,
HFCs,20,HFC-23,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.21106179,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-32,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6105,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-41,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.11148,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-125,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9256,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-134,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9286,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-134a,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.12577,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-143,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9506,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-143a,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9484,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-152,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.11722,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-152a,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6128,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-161,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9243,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-227ea,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.61257,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-236cb,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.455592,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-236ea,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.71342,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-236fa,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.12199,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-245ca,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.62827,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-245fa,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.61345,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-365mfc,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.61201,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
