Exiobase,Count_in_USE_EPA,US_EPA,URI,URI_classes
HFCs,20,HFC-4310mee,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.77787,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
HFCs,20,HFC-1234ze(E),http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.4647426,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HFCs
PFCs,7,Perfluoropropane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6192,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/PFCs
PFCs,7,Perfluorocyclobutane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.13846040,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/PFCs
PFCs,7,Perfluorobutane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.13862701,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/PFCs
PFCs,7,Perfluoropentane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.12154,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/PFCs
PFCs,7,Perfluorohexane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9262,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/PFCs
PFCs,7,Perfluorodecalin,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.13888074,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/PFCs
PFCs,7,Hexafluoroethane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6191,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/PFCs
SF6,1,Sulfur hexafluoride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.21159667,
NOX,1,,,
SOx,1,,,
NH3,1,,,
NMVOC,1,,,
CO,1,,,
CFCs,6,CFC-11,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6149,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/CFCs
CFCs,6,CFC-12,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6151,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/CFCs
CFCs,6,CFC-13,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6152,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/CFCs
CFCs,6,CFC-113,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6152,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/CFCs
CFCs,6,CFC-114,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.221830,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/CFCs
CFCs,6,CFC-115,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6190,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/CFCs
HCFCs,10,HCFC-21,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6130,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HCFCs
HCFCs,10,HCFC-22,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6132,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HCFCs
HCFCs,10,HCFC-122,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9253,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HCFCs
HCFCs,10,HCFC-123,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9016,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HCFCs
HCFCs,10,HCFC-123a,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9254,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HCFCs
HCFCs,10,HCFC-124,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.16841,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HCFCs
HCFCs,10,HCFC-141b,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.14829,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HCFCs
HCFCs,10,HCFC-142b,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6148,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HCFCs
HCFCs,10,HCFC-225ca,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.55063,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HCFCs
HCFCs,10,HCFC-225cb,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.56144,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/HCFCs
Pb,2,,,
Cd,2,,,
Hg,2,,,
As,1,,,
Cr,2,,,
Cu,2,,,
Ni,2,,,
Se,1,,,
Zn,2,,,
Aldrin,1,,,
Chlordane,1,,,
Chlordecone,1,,,
Dieldrin,1,,,
Endrin,1,,,
Heptachlor,1,,,
Hexabr.-biph.,1,,,
Mirex,1,,,
Toxaphene,1,,,
HCH,1,,,
DDT,1,,,
PCB,1,,,
dioxin,1,,,
PM10,1,,,
"PAH (total of 4 components, sum of EM_AIR.43, 45, 46, 47)",1,,,
Benzene,1,,,
"1,3 Butadiene",1,,,
Formaldehyd,1,,,
PM2.5,1,,,
Furans,1,,,
Benzo-[a]-pyrene,1,,,
PBDEs,1,,,
Benzo-[b]-fluoranthene,1,,,
Benzo-[k]-fluoranthene,1,,,
"Indeno-[1,2,3-cd]-pyrene",1,,,
HCB,1,,,
PCDD/F (dioxins and furans),1,,,
TSP (total suspended particulate),1,,,
N,2,,,
P,2,,,
BOD,1,,,
N,2,,,
P,2,,,
Cd,2,,,
Cu,2,,,
Zn,2,,,
Pb,2,,,
Hg,2,,,
Cr,2,,,
Ni,2,,,
C,1,,,
other emissions,1,,,
"Carbon dioxide, biogenic",1,Carbon dioxide,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.274,
Other emissions nec,26,Carbon tetrachloride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.5730,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Chloromethane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6087,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Methylene chloride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6104,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Chloroform,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.5977,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Dichloroethane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.13837650,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Methyl bromide,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6083,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Dibromomethane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.2916,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Bromodifluoromethane,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.56193,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Halon 1211,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.9248,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Halon 1301,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6144,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Nitrogen trifluoride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.22959,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Trifluoromethyl sulfur pentafluoride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.119988,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Sulfuryl fluoride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.16647,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Carbon tetrafluoride,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6153,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Tetrafluoroethene,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.8000,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,HFE-329mcc2,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.13270790,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,HFE-338mcf2,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.2056281,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,HFE-347mcf2,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.11214141,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,HFE-347pcf2,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.144293,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,HFE-356mec3,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.2058620,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,HFE-356pcf2,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.24591028,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,HFE-356pcf3,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.2018678,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,HFE-356pcc3,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.11214145,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,HFE-365mcf3,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.2056341,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,HFE-338pcc13 (HG-01),http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.8035172,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
Other emissions nec,26,Methyl chlorocarbonate,http://rdf.bonsai.uno/flowobject/us_epa/Chemical-Structure.6337,http://rdf.bonsai.uno/flowobject/exiobase3_3_17/Other_emissions_nec
